,doy,day,month,year,hour,ypart,FD,time
200364,314,9,11,2004,13,2004.8565600000002,88.27600000000001,2004-11-09 12:00:00
200365,314,9,11,2004,14,2004.85667,88.42299999999999,2004-11-09 13:00:00
200366,314,9,11,2004,15,2004.85678,88.574,2004-11-09 14:00:00
200367,314,9,11,2004,16,2004.8569,88.17,2004-11-09 15:00:00
200368,314,9,11,2004,17,2004.8570100000002,88.965,2004-11-09 16:00:00
200369,314,9,11,2004,18,2004.85713,88.333,2004-11-09 17:00:00
200370,314,9,11,2004,19,2004.8572399999998,87.845,2004-11-09 18:00:00
200371,314,9,11,2004,20,2004.85735,87.435,2004-11-09 19:00:00
200372,314,9,11,2004,21,2004.85747,86.501,2004-11-09 20:00:00
200373,314,9,11,2004,22,2004.85758,84.04,2004-11-09 21:00:00
200374,314,9,11,2004,23,2004.8577,82.509,2004-11-09 22:00:00
200375,314,9,11,2004,24,2004.8578100000002,83.32700000000001,2004-11-09 23:00:00
200376,315,10,11,2004,1,2004.85792,85.37799999999999,2004-11-10 00:00:00
200377,315,10,11,2004,2,2004.8580399999998,83.72,2004-11-10 01:00:00
200378,315,10,11,2004,3,2004.85815,83.07,2004-11-10 02:00:00
200379,315,10,11,2004,4,2004.85827,81.316,2004-11-10 03:00:00
200380,315,10,11,2004,5,2004.8583800000001,81.454,2004-11-10 04:00:00
200381,315,10,11,2004,6,2004.8584899999998,81.791,2004-11-10 05:00:00
200382,315,10,11,2004,7,2004.8586100000002,82.715,2004-11-10 06:00:00
200383,315,10,11,2004,8,2004.85872,83.37,2004-11-10 07:00:00
200384,315,10,11,2004,9,2004.8588300000001,83.258,2004-11-10 08:00:00
200385,315,10,11,2004,10,2004.85895,83.902,2004-11-10 09:00:00
200386,315,10,11,2004,11,2004.8590600000002,85.775,2004-11-10 10:00:00
200387,315,10,11,2004,12,2004.8591800000002,86.689,2004-11-10 11:00:00
200388,315,10,11,2004,13,2004.8592899999999,87.035,2004-11-10 12:00:00
200389,315,10,11,2004,14,2004.8594,86.525,2004-11-10 13:00:00
200390,315,10,11,2004,15,2004.85952,86.29,2004-11-10 14:00:00
200391,315,10,11,2004,16,2004.8596300000002,86.64,2004-11-10 15:00:00
200392,315,10,11,2004,17,2004.85975,86.176,2004-11-10 16:00:00
200393,315,10,11,2004,18,2004.8598600000003,84.935,2004-11-10 17:00:00
200394,315,10,11,2004,19,2004.85997,85.285,2004-11-10 18:00:00
200395,315,10,11,2004,20,2004.86009,85.455,2004-11-10 19:00:00
200396,315,10,11,2004,21,2004.8602,85.574,2004-11-10 20:00:00
200397,315,10,11,2004,22,2004.8603100000003,85.743,2004-11-10 21:00:00
200398,315,10,11,2004,23,2004.8604300000002,85.802,2004-11-10 22:00:00
200399,315,10,11,2004,24,2004.86054,86.09200000000001,2004-11-10 23:00:00
200400,316,11,11,2004,1,2004.86066,86.205,2004-11-11 00:00:00
200401,316,11,11,2004,2,2004.86077,85.896,2004-11-11 01:00:00
200402,316,11,11,2004,3,2004.8608800000002,86.155,2004-11-11 02:00:00
200403,316,11,11,2004,4,2004.861,85.73700000000001,2004-11-11 03:00:00
200404,316,11,11,2004,5,2004.86111,85.417,2004-11-11 04:00:00
200405,316,11,11,2004,6,2004.86123,85.49799999999999,2004-11-11 05:00:00
200406,316,11,11,2004,7,2004.86134,85.979,2004-11-11 06:00:00
200407,316,11,11,2004,8,2004.86145,86.564,2004-11-11 07:00:00
200408,316,11,11,2004,9,2004.86157,87.205,2004-11-11 08:00:00
200409,316,11,11,2004,10,2004.86168,86.991,2004-11-11 09:00:00
200410,316,11,11,2004,11,2004.86179,87.78399999999999,2004-11-11 10:00:00
200411,316,11,11,2004,12,2004.86191,87.321,2004-11-11 11:00:00
200412,316,11,11,2004,13,2004.86202,87.29700000000001,2004-11-11 12:00:00
200413,316,11,11,2004,14,2004.86214,87.074,2004-11-11 13:00:00
200414,316,11,11,2004,15,2004.86225,87.066,2004-11-11 14:00:00
200415,316,11,11,2004,16,2004.86236,86.898,2004-11-11 15:00:00
200416,316,11,11,2004,17,2004.86248,86.755,2004-11-11 16:00:00
200417,316,11,11,2004,18,2004.86259,86.531,2004-11-11 17:00:00
200418,316,11,11,2004,19,2004.86271,86.059,2004-11-11 18:00:00
200419,316,11,11,2004,20,2004.8628199999998,86.292,2004-11-11 19:00:00
200420,316,11,11,2004,21,2004.86293,86.19200000000001,2004-11-11 20:00:00
200421,316,11,11,2004,22,2004.86305,85.26299999999999,2004-11-11 21:00:00
200422,316,11,11,2004,23,2004.86316,85.57799999999999,2004-11-11 22:00:00
200423,316,11,11,2004,24,2004.8632699999998,85.541,2004-11-11 23:00:00
200424,317,12,11,2004,1,2004.8633899999998,85.943,2004-11-12 00:00:00
200425,317,12,11,2004,2,2004.8635,86.34700000000001,2004-11-12 01:00:00
200426,317,12,11,2004,3,2004.8636199999999,86.446,2004-11-12 02:00:00
200427,317,12,11,2004,4,2004.86373,86.891,2004-11-12 03:00:00
200428,317,12,11,2004,5,2004.8638399999998,86.756,2004-11-12 04:00:00
200429,317,12,11,2004,6,2004.8639600000001,86.76799999999999,2004-11-12 05:00:00
200430,317,12,11,2004,7,2004.8640699999999,86.87899999999999,2004-11-12 06:00:00
200431,317,12,11,2004,8,2004.86418,86.69200000000001,2004-11-12 07:00:00
200432,317,12,11,2004,9,2004.8643,86.645,2004-11-12 08:00:00
200433,317,12,11,2004,10,2004.8644100000001,86.751,2004-11-12 09:00:00
200434,317,12,11,2004,11,2004.86453,87.113,2004-11-12 10:00:00
200435,317,12,11,2004,12,2004.8646399999998,86.787,2004-11-12 11:00:00
200436,317,12,11,2004,13,2004.86475,86.633,2004-11-12 12:00:00
200437,317,12,11,2004,14,2004.8648699999999,86.581,2004-11-12 13:00:00
200438,317,12,11,2004,15,2004.86498,86.37899999999999,2004-11-12 14:00:00
200439,317,12,11,2004,16,2004.8651,86.40799999999999,2004-11-12 15:00:00
200440,317,12,11,2004,17,2004.8652100000002,87.262,2004-11-12 16:00:00
200441,317,12,11,2004,18,2004.8653199999999,87.87100000000001,2004-11-12 17:00:00
200442,317,12,11,2004,19,2004.8654399999998,87.652,2004-11-12 18:00:00
200443,317,12,11,2004,20,2004.86555,87.529,2004-11-12 19:00:00
200444,317,12,11,2004,21,2004.86567,87.584,2004-11-12 20:00:00
200445,317,12,11,2004,22,2004.86578,86.759,2004-11-12 21:00:00
200446,317,12,11,2004,23,2004.8658899999998,86.51100000000001,2004-11-12 22:00:00
200447,317,12,11,2004,24,2004.8660100000002,86.714,2004-11-12 23:00:00
200448,318,13,11,2004,1,2004.86612,86.58200000000001,2004-11-13 00:00:00
200449,318,13,11,2004,2,2004.86623,86.26899999999999,2004-11-13 01:00:00
200450,318,13,11,2004,3,2004.86635,86.41,2004-11-13 02:00:00
200451,318,13,11,2004,4,2004.8664600000002,87.156,2004-11-13 03:00:00
200452,318,13,11,2004,5,2004.86658,86.76899999999999,2004-11-13 04:00:00
200453,318,13,11,2004,6,2004.8666899999998,86.88799999999999,2004-11-13 05:00:00
200454,318,13,11,2004,7,2004.8668,86.436,2004-11-13 06:00:00
200455,318,13,11,2004,8,2004.86692,87.16,2004-11-13 07:00:00
200456,318,13,11,2004,9,2004.86703,87.494,2004-11-13 08:00:00
200457,318,13,11,2004,10,2004.8671399999998,88.012,2004-11-13 09:00:00
200458,318,13,11,2004,11,2004.8672600000002,88.14299999999999,2004-11-13 10:00:00
200459,318,13,11,2004,12,2004.86737,88.21700000000001,2004-11-13 11:00:00
200460,318,13,11,2004,13,2004.8674899999999,87.96,2004-11-13 12:00:00
200461,318,13,11,2004,14,2004.8676,87.806,2004-11-13 13:00:00
200462,318,13,11,2004,15,2004.8677100000002,87.426,2004-11-13 14:00:00
200463,318,13,11,2004,16,2004.8678300000001,87.448,2004-11-13 15:00:00
200464,318,13,11,2004,17,2004.8679399999999,88.245,2004-11-13 16:00:00
200465,318,13,11,2004,18,2004.8680600000002,87.92299999999999,2004-11-13 17:00:00
200466,318,13,11,2004,19,2004.86817,87.96799999999999,2004-11-13 18:00:00
200467,318,13,11,2004,20,2004.8682800000001,88.164,2004-11-13 19:00:00
200468,318,13,11,2004,21,2004.8684,88.333,2004-11-13 20:00:00
200469,318,13,11,2004,22,2004.8685100000002,88.07799999999999,2004-11-13 21:00:00
200470,318,13,11,2004,23,2004.8686300000002,88.296,2004-11-13 22:00:00
200471,318,13,11,2004,24,2004.86874,88.382,2004-11-13 23:00:00
200472,319,14,11,2004,1,2004.86885,88.48200000000001,2004-11-14 00:00:00
200473,319,14,11,2004,2,2004.86897,88.45200000000001,2004-11-14 01:00:00
200474,319,14,11,2004,3,2004.8690800000002,88.53299999999999,2004-11-14 02:00:00
200475,319,14,11,2004,4,2004.86919,88.537,2004-11-14 03:00:00
200476,319,14,11,2004,5,2004.86931,88.572,2004-11-14 04:00:00
200477,319,14,11,2004,6,2004.86942,88.59299999999999,2004-11-14 05:00:00
200478,319,14,11,2004,7,2004.86954,88.417,2004-11-14 06:00:00
200479,319,14,11,2004,8,2004.86965,88.619,2004-11-14 07:00:00
200480,319,14,11,2004,9,2004.86976,88.912,2004-11-14 08:00:00
200481,319,14,11,2004,10,2004.86988,88.57,2004-11-14 09:00:00
200482,319,14,11,2004,11,2004.86999,88.721,2004-11-14 10:00:00
200483,319,14,11,2004,12,2004.87011,88.506,2004-11-14 11:00:00
200484,319,14,11,2004,13,2004.87022,89.009,2004-11-14 12:00:00
200485,319,14,11,2004,14,2004.87033,89.24,2004-11-14 13:00:00
200486,319,14,11,2004,15,2004.87045,89.23,2004-11-14 14:00:00
200487,319,14,11,2004,16,2004.87056,89.03299999999999,2004-11-14 15:00:00
200488,319,14,11,2004,17,2004.87067,89.084,2004-11-14 16:00:00
200489,319,14,11,2004,18,2004.87079,88.777,2004-11-14 17:00:00
200490,319,14,11,2004,19,2004.8709,88.64399999999999,2004-11-14 18:00:00
200491,319,14,11,2004,20,2004.87101,89.016,2004-11-14 19:00:00
200492,319,14,11,2004,21,2004.87113,88.529,2004-11-14 20:00:00
200493,319,14,11,2004,22,2004.87124,88.79700000000001,2004-11-14 21:00:00
200494,319,14,11,2004,23,2004.87136,88.711,2004-11-14 22:00:00
200495,319,14,11,2004,24,2004.8714699999998,88.81299999999999,2004-11-14 23:00:00
200496,320,15,11,2004,1,2004.8715899999997,88.723,2004-11-15 00:00:00
200497,320,15,11,2004,2,2004.8717,88.37299999999999,2004-11-15 01:00:00
200498,320,15,11,2004,3,2004.87181,88.662,2004-11-15 02:00:00
200499,320,15,11,2004,4,2004.87193,88.624,2004-11-15 03:00:00
200500,320,15,11,2004,5,2004.8720399999997,89.096,2004-11-15 04:00:00
200501,320,15,11,2004,6,2004.87215,89.243,2004-11-15 05:00:00
200502,320,15,11,2004,7,2004.8722699999998,89.499,2004-11-15 06:00:00
200503,320,15,11,2004,8,2004.87238,89.646,2004-11-15 07:00:00
200504,320,15,11,2004,9,2004.8725,90.258,2004-11-15 08:00:00
200505,320,15,11,2004,10,2004.8726100000001,90.499,2004-11-15 09:00:00
200506,320,15,11,2004,11,2004.8727199999998,90.82,2004-11-15 10:00:00
200507,320,15,11,2004,12,2004.8728399999998,90.58,2004-11-15 11:00:00
200508,320,15,11,2004,13,2004.87295,90.921,2004-11-15 12:00:00
200509,320,15,11,2004,14,2004.8730699999999,91.54899999999999,2004-11-15 13:00:00
200510,320,15,11,2004,15,2004.87318,91.505,2004-11-15 14:00:00
200511,320,15,11,2004,16,2004.8732899999998,91.43,2004-11-15 15:00:00
200512,320,15,11,2004,17,2004.8734100000001,91.579,2004-11-15 16:00:00
200513,320,15,11,2004,18,2004.8735199999999,91.251,2004-11-15 17:00:00
200514,320,15,11,2004,19,2004.87363,91.11200000000001,2004-11-15 18:00:00
200515,320,15,11,2004,20,2004.87375,91.336,2004-11-15 19:00:00
200516,320,15,11,2004,21,2004.8738600000001,90.90299999999999,2004-11-15 20:00:00
200517,320,15,11,2004,22,2004.87398,90.844,2004-11-15 21:00:00
200518,320,15,11,2004,23,2004.8740899999998,91.037,2004-11-15 22:00:00
200519,320,15,11,2004,24,2004.8742,91.156,2004-11-15 23:00:00
200520,321,16,11,2004,1,2004.87432,90.618,2004-11-16 00:00:00
200521,321,16,11,2004,2,2004.87443,90.262,2004-11-16 01:00:00
200522,321,16,11,2004,3,2004.8745399999998,90.227,2004-11-16 02:00:00
200523,321,16,11,2004,4,2004.8746600000002,90.13799999999999,2004-11-16 03:00:00
200524,321,16,11,2004,5,2004.87477,90.28399999999999,2004-11-16 04:00:00
200525,321,16,11,2004,6,2004.8748899999998,90.431,2004-11-16 05:00:00
200526,321,16,11,2004,7,2004.875,90.397,2004-11-16 06:00:00
200527,321,16,11,2004,8,2004.8751100000002,91.06200000000001,2004-11-16 07:00:00
200528,321,16,11,2004,9,2004.87523,91.413,2004-11-16 08:00:00
200529,321,16,11,2004,10,2004.8753399999998,91.596,2004-11-16 09:00:00
200530,321,16,11,2004,11,2004.8754600000002,91.78399999999999,2004-11-16 10:00:00
200531,321,16,11,2004,12,2004.87557,91.75200000000001,2004-11-16 11:00:00
200532,321,16,11,2004,13,2004.87568,91.292,2004-11-16 12:00:00
200533,321,16,11,2004,14,2004.8758,91.40899999999999,2004-11-16 13:00:00
200534,321,16,11,2004,15,2004.8759100000002,91.641,2004-11-16 14:00:00
200535,321,16,11,2004,16,2004.8760300000001,91.671,2004-11-16 15:00:00
200536,321,16,11,2004,17,2004.8761399999999,91.45299999999999,2004-11-16 16:00:00
200537,321,16,11,2004,18,2004.87625,90.588,2004-11-16 17:00:00
200538,321,16,11,2004,19,2004.87637,90.07700000000001,2004-11-16 18:00:00
200539,321,16,11,2004,20,2004.8764800000001,90.20299999999999,2004-11-16 19:00:00
200540,321,16,11,2004,21,2004.8765899999999,90.29700000000001,2004-11-16 20:00:00
200541,321,16,11,2004,22,2004.8767100000002,90.376,2004-11-16 21:00:00
200542,321,16,11,2004,23,2004.87682,89.758,2004-11-16 22:00:00
200543,321,16,11,2004,24,2004.8769399999999,89.89200000000001,2004-11-16 23:00:00
200544,322,17,11,2004,1,2004.87705,89.89200000000001,2004-11-17 00:00:00
200545,322,17,11,2004,2,2004.8771600000002,89.82600000000001,2004-11-17 01:00:00
200546,322,17,11,2004,3,2004.8772800000002,89.661,2004-11-17 02:00:00
200547,322,17,11,2004,4,2004.8773899999999,90.59700000000001,2004-11-17 03:00:00
200548,322,17,11,2004,5,2004.8775,90.206,2004-11-17 04:00:00
200549,322,17,11,2004,6,2004.87762,90.773,2004-11-17 05:00:00
200550,322,17,11,2004,7,2004.8777300000002,90.803,2004-11-17 06:00:00
200551,322,17,11,2004,8,2004.87785,91.162,2004-11-17 07:00:00
200552,322,17,11,2004,9,2004.8779600000003,91.069,2004-11-17 08:00:00
200553,322,17,11,2004,10,2004.87807,91.402,2004-11-17 09:00:00
200554,322,17,11,2004,11,2004.87819,91.59299999999999,2004-11-17 10:00:00
200555,322,17,11,2004,12,2004.8783,92.132,2004-11-17 11:00:00
200556,322,17,11,2004,13,2004.8784100000003,91.91,2004-11-17 12:00:00
200557,322,17,11,2004,14,2004.8785300000002,91.846,2004-11-17 13:00:00
200558,322,17,11,2004,15,2004.87864,91.678,2004-11-17 14:00:00
200559,322,17,11,2004,16,2004.87876,91.93299999999999,2004-11-17 15:00:00
200560,322,17,11,2004,17,2004.87887,91.655,2004-11-17 16:00:00
200561,322,17,11,2004,18,2004.87899,91.324,2004-11-17 17:00:00
200562,322,17,11,2004,19,2004.8791,91.46600000000001,2004-11-17 18:00:00
200563,322,17,11,2004,20,2004.87921,90.704,2004-11-17 19:00:00
200564,322,17,11,2004,21,2004.87933,91.179,2004-11-17 20:00:00
200565,322,17,11,2004,22,2004.87944,90.713,2004-11-17 21:00:00
200566,322,17,11,2004,23,2004.87955,90.936,2004-11-17 22:00:00
200567,322,17,11,2004,24,2004.87967,90.834,2004-11-17 23:00:00
200568,323,18,11,2004,1,2004.87978,90.82600000000001,2004-11-18 00:00:00
200569,323,18,11,2004,2,2004.8799,91.088,2004-11-18 01:00:00
200570,323,18,11,2004,3,2004.88001,90.959,2004-11-18 02:00:00
200571,323,18,11,2004,4,2004.88012,90.976,2004-11-18 03:00:00
200572,323,18,11,2004,5,2004.88024,90.76899999999999,2004-11-18 04:00:00
200573,323,18,11,2004,6,2004.88035,91.037,2004-11-18 05:00:00
200574,323,18,11,2004,7,2004.88046,91.05799999999999,2004-11-18 06:00:00
200575,323,18,11,2004,8,2004.88058,91.238,2004-11-18 07:00:00
200576,323,18,11,2004,9,2004.88069,91.463,2004-11-18 08:00:00
200577,323,18,11,2004,10,2004.88081,91.475,2004-11-18 09:00:00
200578,323,18,11,2004,11,2004.8809199999998,92.089,2004-11-18 10:00:00
200579,323,18,11,2004,12,2004.88103,92.095,2004-11-18 11:00:00
200580,323,18,11,2004,13,2004.88115,92.289,2004-11-18 12:00:00
200581,323,18,11,2004,14,2004.88126,92.369,2004-11-18 13:00:00
200582,323,18,11,2004,15,2004.8813699999998,92.113,2004-11-18 14:00:00
200583,323,18,11,2004,16,2004.8814899999998,92.01700000000001,2004-11-18 15:00:00
200584,323,18,11,2004,17,2004.8816,92.061,2004-11-18 16:00:00
200585,323,18,11,2004,18,2004.8817199999999,92.025,2004-11-18 17:00:00
200586,323,18,11,2004,19,2004.88183,91.91,2004-11-18 18:00:00
200587,323,18,11,2004,20,2004.8819399999998,91.961,2004-11-18 19:00:00
200588,323,18,11,2004,21,2004.8820600000001,91.82799999999999,2004-11-18 20:00:00
200589,323,18,11,2004,22,2004.8821699999999,92.089,2004-11-18 21:00:00
200590,323,18,11,2004,23,2004.8822899999998,92.10700000000001,2004-11-18 22:00:00
200591,323,18,11,2004,24,2004.8824,91.94200000000001,2004-11-18 23:00:00
200592,324,19,11,2004,1,2004.8825100000001,91.914,2004-11-19 00:00:00
200593,324,19,11,2004,2,2004.88263,91.473,2004-11-19 01:00:00
200594,324,19,11,2004,3,2004.8827399999998,91.838,2004-11-19 02:00:00
200595,324,19,11,2004,4,2004.8828600000002,91.70200000000001,2004-11-19 03:00:00
200596,324,19,11,2004,5,2004.88297,92.005,2004-11-19 04:00:00
200597,324,19,11,2004,6,2004.88308,92.07700000000001,2004-11-19 05:00:00
200598,324,19,11,2004,7,2004.8832,92.37100000000001,2004-11-19 06:00:00
200599,324,19,11,2004,8,2004.8833100000002,92.455,2004-11-19 07:00:00
200600,324,19,11,2004,9,2004.88342,92.6,2004-11-19 08:00:00
200601,324,19,11,2004,10,2004.8835399999998,92.78,2004-11-19 09:00:00
200602,324,19,11,2004,11,2004.88365,92.598,2004-11-19 10:00:00
200603,324,19,11,2004,12,2004.88377,92.78399999999999,2004-11-19 11:00:00
200604,324,19,11,2004,13,2004.88388,92.605,2004-11-19 12:00:00
200605,324,19,11,2004,14,2004.8839899999998,92.59200000000001,2004-11-19 13:00:00
200606,324,19,11,2004,15,2004.8841100000002,90.421,2004-11-19 14:00:00
200607,324,19,11,2004,16,2004.88422,90.132,2004-11-19 15:00:00
200608,324,19,11,2004,17,2004.8843399999998,90.95200000000001,2004-11-19 16:00:00
200609,324,19,11,2004,18,2004.88445,90.63799999999999,2004-11-19 17:00:00
200610,324,19,11,2004,19,2004.8845600000002,90.914,2004-11-19 18:00:00
200611,324,19,11,2004,20,2004.8846800000001,91.47399999999999,2004-11-19 19:00:00
200612,324,19,11,2004,21,2004.8847899999998,91.62200000000001,2004-11-19 20:00:00
200613,324,19,11,2004,22,2004.8849,91.773,2004-11-19 21:00:00
200614,324,19,11,2004,23,2004.88502,92.272,2004-11-19 22:00:00
200615,324,19,11,2004,24,2004.8851300000001,92.385,2004-11-19 23:00:00
200616,325,20,11,2004,1,2004.88525,92.795,2004-11-20 00:00:00
200617,325,20,11,2004,2,2004.8853600000002,92.37,2004-11-20 01:00:00
